tutorial,id,name,school,gender,cgpa,team
,,Nadia Binti Zulkifli,MSE,Female,3.87,0
,,Yvonne Ng,CEE,Female,3.8,0
,,Chloe Scott,SBS,Female,3.85,0
,,Isabella Rodriguez,EEE,Female,3.86,0
,,Vira Dwi,CCEB,Female,3.8,0
,,Nguyen Thi Hoa,CCDS,Female,3.87,0
,,Yan Mei,CCDS,Female,3.87,0
,,Riya Verma,MAE,Female,3.85,0
,,Elena Vladimirovna,CEE,Female,3.87,0
,,Akemi Watanabe,SBS,Female,3.87,0
,,Siti Nurhaliza Binti Idris,CCEB,Female,3.8,0
,,Zara Price,EEE,Female,3.85,0
,,Kira Foster,EEE,Female,3.85,0
,,Kylie Roberts,CCDS,Female,3.8,0
,,Sabrina Tan,MAE,Female,3.82,0
,,Kiran Patel,EEE,Female,3.87,0
,,Svetlana Egorova,MAE,Female,3.87,0
,,Tanvi Kapoor,EEE,Female,3.86,0
,,Yoshiko Taniguchi,EEE,Female,3.88,0
,,Pooja Joshi,MAE,Female,3.88,0
,,Hani Binti Ahmad,CCEB,Female,3.85,0
,,Min-Seo Park,CCEB,Female,3.86,0
,,Amina Binti Ali,SBS,Female,3.8,0
,,Claire Jenkins,MSE,Female,3.86,0
,,Mila Collins,EEE,Female,3.87,0
,,Evelyn Wong,EEE,Female,3.85,0
,,Neha Sharma,MAE,Female,3.86,0
,,Nurul Farah,SPMS,Female,3.85,0
,,Hailey Lin,SBS,Female,3.88,0
,,Aisya Binti Azhar,SBS,Female,3.85,0
,,Hafizah Binti Mohd,CCEB,Female,3.85,0
,,Anika Patel,EEE,Female,3.85,0
,,Olivia Moore,CCEB,Female,3.87,0
,,Nora Binti Rahman,EEE,Female,3.8,0
,,Xue Ling Tan,EEE,Female,3.8,0
,,Ming Li Tan,CCEB,Female,3.85,0
,,Xing Chen,MAE,Female,3.85,0
,,Lina Agustina,EEE,Female,3.85,0
,,Sanya Sharma,EEE,Female,3.88,0
,,Nguyen Thi Kim,EEE,Female,3.88,0
,,Leah Wong,CEE,Female,3.86,0
,,Pallavi Jain,MSE,Female,3.85,0
,,Katherine Lim,CCDS,Female,3.88,0
,,Amelia Martin,CCEB,Female,3.86,0
,,Tania Das,CCDS,Female,3.88,0
,,Aoi Sakamoto,CCEB,Female,3.88,0
,,Anjali Mehta,EEE,Female,3.85,0
,,Shalini Reddy,CEE,Female,3.85,0
,,Madison Murphy,EEE,Female,3.86,0
,,Diana Lewis,CCDS,Female,3.86,0
,,Chloe Martinez,CCEB,Female,3.87,0
,,Chloe Tam,MSE,Female,3.88,0
,,Kiran Khanna,MAE,Female,3.85,0
,,Mira Binti Bakar,SBS,Female,3.85,0
,,Addison Bell,CCDS,Female,3.85,0
,,Kah Ying,CCDS,Female,3.88,0
,,Fatimah Binti Ali,EEE,Female,3.88,0
,,Laura Garcia,MAE,Female,3.85,0
,,Wenwen,SBS,Female,3.8,0
,,Amina Binti Rahman,EEE,Female,3.84,0
,,Emily Tsai,CCEB,Female,3.88,0
,,Ava Chua,MSE,Female,3.85,0
,,Jiayi,MSE,Female,3.8,0
,,Olivia Garcia,MAE,Female,3.86,0
,,Tessa Alonzo,CCDS,Female,3.88,0
,,Chloe Rivera,CCDS,Female,3.87,0
,,Sophia Garcia,CCDS,Female,3.8,0
,,Fatima Tan,CCDS,Female,3.86,0
,,Nora Bailey,EEE,Female,3.86,0
,,Haoqiang,CCEB,Female,3.85,0
,,Aria White,CCDS,Female,3.87,0
,,Belinda Ong,CCEB,Female,3.85,0
,,Ling Chen,EEE,Female,3.8,0
,,Yani Lestari,SBS,Female,3.8,0
,,Chandni Kapoor,SPMS,Female,3.88,0
,,Sakura Yoshida,SPMS,Female,3.86,0
,,Yoko Taniguchi,CCDS,Female,3.85,0
,,Gracie Hall,MSE,Female,3.85,0
,,Emily Ho,MAE,Female,3.88,0
,,Aisha Binti Rahman,CCEB,Female,3.85,0
,,Ella Wright,SBS,Female,3.88,0
,,Aria Thompson,SBS,Female,3.86,0
,,Jin-Ah Kim,CCDS,Female,3.86,0
,,Kinsley Price,CCDS,Female,3.87,0
,,Diana Binti Mohd,MAE,Female,3.88,0
,,Paige Wang,EEE,Female,3.88,0
,,Naoko Ueda,MSE,Female,3.86,0
,,Samantha Rogers,CoE,Female,3.88,0
,,Nadia Binti Zain,LKCMedicine,Male,4.97,1
,,Ayesha Malik,SSS,Female,4.0,1
,,Sanya Maheshwari,SoH,Female,4.0,1
,,Adil Khan,CoE,Male,4.09,1
,,Ryusei Nakamura,MSE,Male,4.09,1
,,Hunter Green,CEE,Male,4.97,2
,,Aditi Kapoor,SSS,Female,4.0,2
,,Henry Lin,EEE,Male,4.09,2
,,Victoria Reed,MAE,Female,3.89,2
,,Zhi Xuan,CoB (NBS),Male,4.04,2
,,Maya Ong,CoB (NBS),Female,4.14,3
,,Dante Ong,CoE,Male,4.97,3
,,Zara Dwi,CoB (NBS),Female,4.0,3
